# frame +z -z 
1778 377 418 
1779 377 418 
1780 377 420 
1781 377 422 
1782 377 423 
1783 378 423 
1784 378 423 
1785 380 423 
1786 380 423 
1787 380 423 
1788 381 423 
1789 381 423 
1790 381 423 
1791 384 424 
1792 387 425 
1793 388 425 
1794 389 425 
1795 389 425 
1796 389 425 
1797 389 425 
1798 389 425 
1799 389 426 
1800 389 427 
1801 389 427 
1802 390 427 
1803 391 427 
1804 391 427 
1805 391 427 
1806 392 427 
1807 393 427 
1808 393 427 
1809 394 427 
1810 394 427 
1811 394 427 
1812 394 427 
1813 394 427 
1814 394 428 
1815 394 428 
1816 395 428 
1817 395 428 
1818 396 428 
1819 396 428 
1820 396 429 
1821 397 429 
1822 398 429 
1823 399 429 
1824 400 429 
1825 400 429 
1826 400 429 
1827 400 429 
1828 400 429 
1829 401 429 
1830 403 431 
1831 403 432 
1832 404 432 
1833 404 433 
1834 404 433 
1835 404 434 
1836 404 434 
1837 405 434 
1838 405 434 
1839 405 434 
1840 405 434 
1841 406 434 
1842 406 434 
1843 408 434 
1844 408 434 
1845 409 434 
1846 409 434 
1847 410 434 
1848 412 434 
1849 413 434 
1850 413 434 
1851 413 434 
1852 414 434 
1853 414 434 
1854 414 435 
1855 414 435 
1856 414 435 
1857 414 435 
1858 414 436 
1859 414 437 
1860 414 437 
1861 414 437 
1862 414 437 
1863 414 437 
1864 414 437 
1865 414 437 
1866 414 437 
1867 414 437 
